English,Russian
the,то
of,из
and,и
to,к
in,в
a,а
is,является
was,был
that,что
for,для
as,как
with,с
by,к
on,на
are,являются
from,от
be,быть
or,или
his,его
were,были
it,это
an,ан
at,в
not,нет
which,который
have,иметь
he,он
had,имел
this,этот
has,имеет
also,также
their,их
but,но
one,один
can,может
its,его
on,на
the,то
other,другой
been,был
more,более
they,они
used,использовал
first,первый
all,все
two,два
citation,цитирование
than,чем
into,в
would,бы
only,только
time,время
who,ВОЗ
most,большинство
may,может
such,такой
some,некоторый
many,много
when,когда
after,после
between,между
over,над
these,эти
her,ее
about,о
there,там
use,использовать
no,нет
them,их
new,новый
him,ему
will,воля
out,вне
during,в течение
made,сделал
both,оба
then,затем
often,часто
so,так
any,любой
being,существование
such,такой
as,как
where,где
number,число
could,мог
main,основной
p.,стр.
through,через
system,система
people,люди
known,известный
each,каждый
while,пока
if,если
called,называется
convert,конвертировать
same,такой же
later,позже
three,три
because,потому что
well,хорошо
work,работа
before,до
the,то
same,такой же
under,под
part,часть
very,очень
different,другой
became,стал
year,год
did,делал
large,большой
example,пример
several,несколько
city,город
early,рано
until,до
much,много
government,правительство
found,найденный
own,собственный
since,с
she,она
even,даже
form,форма
power,власть
do,делать
those,те
around,вокруг
state,состояние
including,включая
set,набор
high,высокий
life,жизнь
against,против
second,второй
century,век
within,в пределах
world,мир
still,все еще
end,конец
using,с использованием
small,маленький
name,имя
what,что
now,сейчас
usually,обычно
American,американский
without,без
however,однако
began,началось
like,нравиться
as,как
well,хорошо
area,область
make,делать
common,общий
the,то
most,большинство
water,вода
United,Соединенные
States,Штаты
another,другой
way,способ
due,должный
must,должен
long,длинный
less,меньше
four,четыре
death,смерть
said,сказал
film,фильм
order,заказ
due,должный
to,к
back,назад
public,публичный
does,делает
left,левый
based,основанный на
few,немного
become,становиться
known,известный
as,как
s,с
given,данный
country,страна
major,главный
British,британский
place,место
group,группа
considered,обдуманный
among,среди
game,игра
point,точка
used,использовал
to,к
period,период
support,поддерживать
war,война
music,музыка
down,вниз
million,миллион
important,важный
systems,системы
control,контроль
should,должен
took,взял
day,день
family,семья
language,язык
last,последний
original,оригинал
result,результат
political,политический
line,линия
members,члены
case,случай
as,как
well,хорошо
as,как
see,видеть
single,одинокий
just,только
process,процесс
along,вдоль
similar,похожий
take,брать
following,следующий
we,мы
although,хотя
countries,страны
right,верно
either,или
times,раз
areas,области
published,опубликовано
the,то
other,другой
local,местный
include,включать
population,население
never,никогда
data,данные
home,дом
every,каждый
various,различный
the,то
time,время
modern,современный
further,дальше
development,разработка
per,за
how,как
led,вел
possible,возможный
military,военный
popular,популярный
term,срок
though,хотя
history,история
generally,в целом
you,ты
off,выключенный
rather,скорее
men,мужчины
law,закон
developed,развитый
German,немецкий
held,держал
human,человек
production,производство
body,тело
general,общий
the,то
world,мир
light,свет
sometimes,иногда
states,штаты
late,поздно
field,поле
based,основанный на
on,на
having,имея
came,пришел
above,выше
available,доступный
book,книга
others,другие
York,Йорк
next,следующий
created,созданный
U.S.,НАС.
show,показывать
himself,сам
out,вне
of,из
wrote,написал
days,дней
died,умер
word,слово
play,играть
again,снова
great,большой
service,услуга
age,возраст
seen,видимый
children,дети
level,уровень
released,выпущенный
works,работает
continued,продолжение
pp.,стр.
the,то
two,два
five,пять
higher,выше
species,разновидность
energy,энергия
required,необходимый
change,изменять
means,означает
team,команда
January,Январь
information,информация
theory,теория
New,Новый
York,Йорк
produced,произведено
making,изготовление
built,построен
design,дизайн
role,роль
addition,добавление
included,включено
almost,почти
side,сторона
position,позиция
groups,группы
able,способный
de,де
land,земля
total,общий
range,диапазон
July,Июль
national,национальный
space,космос
written,написано
social,социальный
version,версия
Europe,Европа
season,сезон
force,сила
air,воздух
allowed,допустимый
largest,самый большой
good,хороший
type,тип
itself,сам
received,полученный
women,женщины
low,низкий
throughout,через
taken,взятый
standard,стандартный
little,маленький
least,наименее
that,что
is,является
free,бесплатно
cases,случаи
size,размер
thus,таким образом
school,школа
especially,особенно
old,старый
upon,на
particular,особый
terms,условия
effect,эффект
provide,предоставлять
lower,ниже
certain,определенный
together,вместе
present,подарок
always,всегда
short,короткий
parts,части
words,слова
third,третий
April,Апрель
described,описанный
too,слишком
up,вверх
to,к
established,учредил
might,мощь
played,играл
forces,силы
natural,естественный
June,Июнь
once,один раз
months,месяцев
rate,ставка
European,европейский
numbers,числа
six,шесть
man,мужчина
rather,скорее
than,чем
hand,рука
typically,обычно
value,ценить
England,Англия
London,Лондон
October,Октябрь
could,мог
be,быть
final,финал
the,то
country,страна
September,Сентябрь
average,средний
France,Франция
instead,вместо
current,текущий
December,Декабрь
international,международный
program,программа
character,характер
increased,повысился
a,а
few,немного
surface,поверхность
across,через
thought,мысль
company,компания
followed,последовал
best,лучший
provided,предоставил
economic,экономический
games,игры
significant,значительный
named,названный
function,функция
building,здание
went,шел
return,возвращаться
uses,использует
fact,факт
study,изучать
below,ниже
full,полный
source,источник
lost,потерянный
America,Америка
person,человек
a,а
number,число
changes,изменения
longer,дольше
research,исследовать
individual,индивидуальный
languages,языки
strong,сильный
structure,структура
party,вечеринка
larger,больше
run,бегать
open,открыть
cause,причина
aircraft,самолет
away,прочь
far,далеко
region,область
need,нуждаться
food,еда
forms,формы
increase,увеличивать
outside,снаружи
started,начал
material,материал
cannot,не может
November,Ноябрь
half,половина
head,голова
market,рынок
near,около
record,записывать
traditional,традиционный
special,особенный
style,стиль
all,все
the,то
sent,отправил
story,история
February,февраль
player,игрок
designed,разработанный
top,вершина
at,в
least,наименее
themselves,сами себя
model,модель
returned,вернулся
band,группа
because,потому что
of,из
help,помощь
types,типы
come,приходить
points,точек
added,добавлен
events,события
network,сеть
limited,ограниченный
services,услуги
nature,природа
army,армия
former,бывший
father,отец
close,закрывать
view,вид
allow,позволять
won,выиграл
specific,специфический
elements,элементы
practice,упражняться
lines,линии
gave,отдал
pressure,давление
introduced,введен
produce,производить
moved,взолнованный
whether,ли
religious,религиозный
put,помещать
official,официальный
movement,движение
my,мой
Germany,Германия
students,студенты
trade,торговля
method,метод
attack,атака
in,в
order,заказ
problems,проблемы
art,искусство
eventually,в конце концов
evidence,доказательство
referred,направленный
results,результаты
caused,вызванный
remained,остался
influence,влияние
success,успех
meaning,значение
brought,принес
believed,верил
enough,достаточно
features,функции
give,давать
young,молодой
white,белый
culture,культура
problem,проблема
characters,персонажи
lead,вести
action,действие
according,согласно
referred,направленный
to,к
conditions,условия
performance,производительность
according,согласно
to,к
effects,эффекты
amount,количество
black,черный
business,бизнес
working,работающий
better,лучше
difficult,трудный
temperature,температура
education,образование
real,настоящий
money,деньги
smaller,меньше
create,создавать
located,расположен
directly,напрямую
sound,звук
leading,ведущий
ground,земля
therefore,поэтому
get,получать
private,частный
formed,сформированный
particularly,особенно
Chinese,китайский
television,телевидение
subject,предмет
south,юг
cities,города
album,альбом
class,сорт
industry,промышленность
computer,компьютер
beginning,начало
community,сообщество
already,уже
complete,полный
go,идти
players,игроки
associated,связанный
related,связанный
physical,физический
our,наш
town,город
move,двигаться
complex,сложный
interest,интерес
rule,правило
speed,скорость
commonly,обычно
in,в
order,заказ
to,к
rights,права
living,жизнь
for,для
example,пример
greater,больше
writing,письмо
find,находить
growth,рост
killed,убит
court,суд
levels,уровни
house,дом
against,против
the,то
office,офис
done,сделанный
shows,шоу
Spanish,испанский
needed,нужный
saw,пила
central,центральный
entire,весь
fire,огонь
son,сын
books,книги
mostly,по большей части
access,доступ
soon,скоро
today,сегодня
earlier,ранее
variety,разнообразие
additional,дополнительный
percent,процент
foreign,иностранный
ever,всегда
recorded,записано
future,будущее
widely,широко
title,заголовок
all,все
of,из
shown,показано
successful,успешный
radio,радио
project,проект
construction,строительство
changed,измененный
king,король
remains,останки
mass,масса
personal,личный
policy,политика
code,код
includes,включает в себя
involved,вовлеченный
Africa,Африка
idea,идея
names,имена
separate,отдельный
base,база
length,длина
rules,правила
key,ключ
units,единиц
likely,вероятный
makes,делает
release,выпускать
cost,расходы
church,церковь
films,фильмы
majority,большинство
primary,начальный
performed,выполненный
methods,методы
stated,заявил
appear,появляться
whole,весь
so,так
that,что
member,член
allows,позволяет
decided,решенный
Japanese,японский
reported,сообщили
sold,продал
capital,капитал
science,наука
society,общество
rest,отдых
stage,этап
event,событие
whose,чей
recent,недавний
color,цвет
legal,юридический
highly,высоко
career,карьера
song,песня
frequently,часто
placed,размещен
simple,простой
defined,определенный
me,мне
mother,мать
appeared,появился
India,Индия
schools,школы
turn,повернуть
simply,просто
relationship,отношение
multiple,несколько
nearly,около
sense,смысл
past,прошлое
relatively,относительно
forced,принужденный
software,программное обеспечение
attempt,пытаться
north,север
William,Уильям
quickly,быстро
companies,компании
programs,программы
products,продукты
direct,прямой
site,сайт
sources,источники
previous,предыдущий
technology,технология
battle,боевой
front,передний
provides,обеспечивает
necessary,необходимый
served,служил
originally,первоначально
along,вдоль
with,с
approach,подход
image,изображение
seven,Семь
experience,опыт
Greek,греческий
parts,части
of,из
text,текст
towards,к
completed,завершенный
memory,память
ability,способность
commercial,коммерческий
UK,Великобритания
health,здоровье
replaced,заменен
worked,работал
yet,еще
start,начинать
economy,экономика
highest,самый высокий
property,свойство
behind,позади
knowledge,знание
test,тест
response,ответ
largely,в значительной степени
sea,море
reached,достиг
president,президент
wide,широкий
night,ночь
operations,операции
supported,поддерживается
act,действовать
training,обучение
reason,причина
Britain,Британия
list,список
issues,проблемы
occur,происходить
loss,потеря
the,то
government,правительство
reduced,уменьшенный
active,активный
functions,функции
remain,оставаться
lack,недостаток
to,к
do,делать
clear,прозрачный
gas,газ
island,остров
cells,клетки
taking,принимая
contains,содержит
takes,принимает
approximately,примерно
exist,существовать
basis,основа
distance,расстояние
independent,независимый
intended,намеревался
elected,избранный
product,продукт
adopted,усыновленный
actually,на самом деле
wife,жена
ended,закончился
born,рожденный
Christian,Кристиан
keep,держать
potential,потенциал
course,курс
matter,иметь значение
love,любовь
issue,проблема
objects,объекты
things,вещи
heavy,тяжелый
oil,масло
center,центр
regular,обычный
George,Джордж
the,то
following,следующий
divided,разделенный
eight,восемь
date,дата
James,Джеймс
summer,лето
direction,направление
laws,законы
numerous,многочисленные
account,счет
income,доход
individuals,индивидуумы
concept,концепция
plan,план
announced,объявлено
Russian,Русский
failed,неуспешный
applied,применяемый
values,ценности
northern,северный
proposed,предложенный
ships,корабли
resulting,в результате
estimated,оцененный
appears,появляется
continue,продолжать
Canada,Канада
red,красный
married,женатый
object,объект
studies,исследования
media,СМИ
engine,двигатель
passed,прошедший
Henry,Генри
Australia,Австралия
machine,машина
quality,качество
founded,основан
hold,держать
say,сказать
parties,вечеринки
letter,письмо
Japan,Япония
expected,ожидал
treatment,уход
normal,нормальный
signal,сигнал
blood,кровь
financial,финансовый
status,статус
video,видео
older,старше
carried,унесенный
compared,сравнил
know,знать
wanted,в розыске
accepted,принял
via,с помощью
read,читать
each,каждый
other,другой
types,типы
of,из
animals,животные
turned,повернулся
unit,единица
feature,особенность
southern,южный
increasing,увеличивается
met,встретил
prevent,предотвращать
songs,песни
applications,приложения
require,требовать
opened,открылся
marriage,свадьба
contain,содержать
equipment,оборудование
playing,играя
section,раздел
remaining,оставшийся
properties,характеристики
asked,спросил
the,то
case,случай
ten,десять
Charles,Чарльз
activity,активность
whom,кому
ways,пути
buildings,здания
basic,базовый
probably,вероятно
running,бег
materials,материалы
stories,истории
edition,версия
location,расположение
noted,отмеченный
cell,клетка
analysis,анализ
Russia,Россия
Rome,Рим
removed,удаленный
becomes,становится
paper,бумага
activities,деятельность
billion,миллиард
fall,падать
child,ребенок
cut,резать
operating,операционный
degree,степень
ship,корабль
occurs,происходит
less,меньше
than,чем
novel,роман
completely,полностью
except,кроме
inside,внутри
Robert,Роберт
troops,войска
Jewish,еврейский
report,отчет
call,вызов
flow,поток
metal,металл
appointed,назначен
offered,предложенный
told,сказал
frequency,частота
initial,исходный
campaign,кампания
discovered,обнаруженный
definition,определение
historical,исторический
models,модели
allowing,позволяя
operation,операция
police,полиция
poor,бедный
weight,масса
not,нет
have,иметь
ancient,древний
here,здесь
primarily,в первую очередь
agreed,согласованный
hit,ударять
west,запад
heat,нагревать
security,безопасность
David,Дэйвид
claimed,утверждал
positive,положительный
easily,легко
environment,среда
scientific,научный
going,идущий
regions,регионы
ISBN,ISBN
ball,мяч
tradition,традиция
reach,достигать
requires,требует
St.,Св.
extended,расширенный
charge,заряжать
female,женский
face,лицо
serve,служить
equal,равный
Italy,Италия
letters,письма
refused,отказался
immediately,немедленно
believe,полагать
supply,поставлять
effective,эффективный
internal,внутренний
versions,версии
cultural,культурный
leave,оставлять
th,й
mainly,в основном
negative,отрицательный
soldiers,солдаты
question,вопрос
spread,распространение
suggested,предложенный
Paul,Пол